excution_number,best_genes,best_fitness
1,"[3, 8, 4, 1, 7, 5, 0, 9, 2, 6]",4094
2,"[1, 3, 5, 7, 2, 6, 9, 4, 0, 8]",2966
3,"[4, 9, 3, 5, 7, 1, 8, 6, 0, 2]",3182
4,"[6, 7, 1, 9, 8, 0, 3, 5, 2, 4]",2956
5,"[2, 1, 6, 8, 5, 0, 4, 3, 9, 7]",3172
6,"[8, 1, 4, 3, 7, 5, 0, 2, 9, 6]",3640
7,"[8, 1, 3, 9, 0, 2, 6, 5, 4, 7]",3308
8,"[3, 6, 4, 5, 8, 9, 7, 2, 1, 0]",2700
9,"[6, 9, 0, 7, 3, 8, 4, 5, 2, 1]",3295
10,"[0, 9, 2, 5, 1, 7, 6, 4, 8, 3]",3387
11,"[2, 6, 1, 0, 7, 4, 8, 3, 5, 9]",4574
12,"[1, 2, 8, 0, 5, 6, 4, 7, 3, 9]",3283
13,"[7, 3, 6, 9, 0, 2, 8, 5, 1, 4]",3341
14,"[4, 7, 8, 6, 1, 3, 9, 2, 0, 5]",2669
15,"[6, 8, 9, 5, 7, 2, 4, 0, 1, 3]",3316
16,"[0, 3, 4, 6, 7, 2, 9, 8, 1, 5]",3678
17,"[3, 4, 0, 8, 1, 7, 2, 5, 6, 9]",3134
18,"[4, 6, 3, 2, 7, 5, 9, 1, 8, 0]",3667
19,"[2, 8, 0, 7, 5, 3, 6, 9, 1, 4]",3472
20,"[3, 4, 8, 0, 6, 2, 5, 1, 9, 7]",4407
